year,scientific_name,functional_group,Landed value (tonnes)
2000,Elasmobranchii,Large sharks (>=90 cm),136.3041045
2000,Bivalvia,Other demersal invertebrates,136.3041045
2000,Pteriomorphia,Other demersal invertebrates,82.5015254
2000,Scombroidea,Large pelagics (>=90 cm),511.1403919
2000,Soleidae,Small to medium flatfishes (<90 cm),34.07602613
2000,Palinuridae,"Lobsters, crabs",511.1403919
2000,Epinephelus,Medium reef assoc. fish (30 - 89 cm),272.608209
2000,Pagellus,Medium benthopelagics (30 - 89 cm),34.07602613
2000,Loligo,Cephalopods,34.07602613
2000,Sepia,Cephalopods,170.3801306
2000,Donax,Other demersal invertebrates,11.7859322
2000,Dicentrarchus labrax,Large demersals (>=90 cm),34.07602613
2000,Conger conger,Large demersals (>=90 cm),340.7602613
2000,Argyrosomus regius,Large benthopelagics (>=90 cm),34.07602613
2000,Mullus surmuletus,Medium demersals (30 - 89 cm),477.0643658
2000,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),34.07602613
2000,Chamelea gallina,Other demersal invertebrates,200.3608474
2000,Callista chione,Other demersal invertebrates,123.7522881
2000,Acanthocardia tuberculata,Other demersal invertebrates,165.0030508
2001,Miscellaneous aquatic invertebrates,Other demersal invertebrates,35.0999748
2001,Elasmobranchii,Large sharks (>=90 cm),140.3998992
2001,Bivalvia,Other demersal invertebrates,140.3998992
2001,Pteriomorphia,Other demersal invertebrates,75.05863904
2001,Scombroidea,Large pelagics (>=90 cm),526.499622
2001,Soleidae,Small to medium flatfishes (<90 cm),35.0999748
2001,Palinuridae,"Lobsters, crabs",526.499622
2001,Epinephelus,Medium reef assoc. fish (30 - 89 cm),280.7997984
2001,Pagellus,Medium benthopelagics (30 - 89 cm),35.0999748
2001,Loligo,Cephalopods,35.0999748
2001,Sepia,Cephalopods,175.499874
2001,Donax,Other demersal invertebrates,10.72266272
2001,Dicentrarchus labrax,Large demersals (>=90 cm),35.0999748
2001,Conger conger,Large demersals (>=90 cm),350.999748
2001,Argyrosomus regius,Large benthopelagics (>=90 cm),35.0999748
2001,Mullus surmuletus,Medium demersals (30 - 89 cm),491.3996472
2001,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),35.0999748
2001,Chamelea gallina,Other demersal invertebrates,182.2852662
2001,Callista chione,Other demersal invertebrates,112.5879586
2001,Acanthocardia tuberculata,Other demersal invertebrates,150.1172781
2002,Miscellaneous aquatic invertebrates,Other demersal invertebrates,36.06302756
2002,Elasmobranchii,Large sharks (>=90 cm),144.2521103
2002,Bivalvia,Other demersal invertebrates,144.2521102
2002,Pteriomorphia,Other demersal invertebrates,67.86718344
2002,Scombroidea,Large pelagics (>=90 cm),540.9454134
2002,Soleidae,Small to medium flatfishes (<90 cm),36.06302756
2002,Palinuridae,"Lobsters, crabs",540.9454134
2002,Epinephelus,Medium reef assoc. fish (30 - 89 cm),288.5042205
2002,Pagellus,Medium benthopelagics (30 - 89 cm),36.06302756
2002,Loligo,Cephalopods,36.06302756
2002,Sepia,Cephalopods,180.3151378
2002,Donax,Other demersal invertebrates,9.69531192
2002,Dicentrarchus labrax,Large demersals (>=90 cm),36.06302756
2002,Conger conger,Large demersals (>=90 cm),360.6302756
2002,Argyrosomus regius,Large benthopelagics (>=90 cm),36.06302756
2002,Mullus surmuletus,Medium demersals (30 - 89 cm),504.8823859
2002,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),36.06302756
2002,Chamelea gallina,Other demersal invertebrates,164.8203026
2002,Callista chione,Other demersal invertebrates,101.8007752
2002,Acanthocardia tuberculata,Other demersal invertebrates,135.7343669
2003,Miscellaneous aquatic invertebrates,Other demersal invertebrates,49.49195155
2003,Elasmobranchii,Large sharks (>=90 cm),197.9678062
2003,Bivalvia,Other demersal invertebrates,197.9678062
2003,Pteriomorphia,Other demersal invertebrates,60.9271586
2003,Scombroidea,Large pelagics (>=90 cm),742.3792732
2003,Soleidae,Small to medium flatfishes (<90 cm),49.49195155
2003,Palinuridae,"Lobsters, crabs",742.3792732
2003,Epinephelus,Medium reef assoc. fish (30 - 89 cm),395.9356124
2003,Pagellus,Medium benthopelagics (30 - 89 cm),49.49195155
2003,Loligo,Cephalopods,49.49195155
2003,Sepia,Cephalopods,247.4597577
2003,Donax,Other demersal invertebrates,8.7038798
2003,Dicentrarchus labrax,Large demersals (>=90 cm),49.49195155
2003,Conger conger,Large demersals (>=90 cm),494.9195155
2003,Argyrosomus regius,Large benthopelagics (>=90 cm),49.49195155
2003,Mullus surmuletus,Medium demersals (30 - 89 cm),692.8873217
2003,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),49.49195155
2003,Chamelea gallina,Other demersal invertebrates,147.9659566
2003,Callista chione,Other demersal invertebrates,91.3907379
2003,Acanthocardia tuberculata,Other demersal invertebrates,121.8543172
2004,Miscellaneous aquatic invertebrates,Other demersal invertebrates,62.37082256
2004,Elasmobranchii,Large sharks (>=90 cm),249.4832902
2004,Bivalvia,Other demersal invertebrates,249.4832902
2004,Pteriomorphia,Other demersal invertebrates,54.23856452
2004,Scombroidea,Large pelagics (>=90 cm),935.5623383
2004,Soleidae,Small to medium flatfishes (<90 cm),62.37082256
2004,Palinuridae,"Lobsters, crabs",935.5623383
2004,Epinephelus,Medium reef assoc. fish (30 - 89 cm),498.9665804
2004,Pagellus,Medium benthopelagics (30 - 89 cm),62.37082256
2004,Loligo,Cephalopods,62.37082256
2004,Sepia,Cephalopods,311.8541128
2004,Donax,Other demersal invertebrates,7.74836636
2004,Dicentrarchus labrax,Large demersals (>=90 cm),62.37082256
2004,Conger conger,Large demersals (>=90 cm),623.7082255
2004,Argyrosomus regius,Large benthopelagics (>=90 cm),62.37082256
2004,Mullus surmuletus,Medium demersals (30 - 89 cm),873.1915158
2004,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),62.37082256
2004,Chamelea gallina,Other demersal invertebrates,131.7222281
2004,Callista chione,Other demersal invertebrates,81.35784678
2004,Acanthocardia tuberculata,Other demersal invertebrates,108.477129
2005,Miscellaneous aquatic invertebrates,Other demersal invertebrates,60.63951112
2005,Elasmobranchii,Large sharks (>=90 cm),242.5580445
2005,Bivalvia,Other demersal invertebrates,242.5580445
2005,Pteriomorphia,Other demersal invertebrates,47.8014012
2005,Scombroidea,Large pelagics (>=90 cm),909.5926668
2005,Soleidae,Small to medium flatfishes (<90 cm),60.63951112
2005,Palinuridae,"Lobsters, crabs",909.5926668
2005,Epinephelus,Medium reef assoc. fish (30 - 89 cm),485.116089
2005,Pagellus,Medium benthopelagics (30 - 89 cm),60.63951112
2005,Loligo,Cephalopods,60.63951112
2005,Sepia,Cephalopods,303.1975556
2005,Donax,Other demersal invertebrates,6.8287716
2005,Dicentrarchus labrax,Large demersals (>=90 cm),60.63951112
2005,Conger conger,Large demersals (>=90 cm),606.3951112
2005,Argyrosomus regius,Large benthopelagics (>=90 cm),60.63951112
2005,Mullus surmuletus,Medium demersals (30 - 89 cm),848.9531557
2005,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),60.63951112
2005,Chamelea gallina,Other demersal invertebrates,116.0891172
