;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Species (common name);Species (latin name);Functional group;commercial group;Max length (cm);Trophic level;Depth range (m);Coord;Temperature (¨C);Vulnerability(%)
Red pandora;Pagellus bellotti;Medium demersals;Perch-likes;42;3.60;oct-50;35°N-25°S;18.5 - 28;49
Rubberlip grunt;Plectorhinchus mediterraneus;Medium demersals;Perch-likes;80;3.49;10-180;45°N-22°S;16.1 - 24.4;54
Senegalese hake;Merluccius senegalensis;Medium demersals;Cod-likes;73;4.50;15-800;33°N-12°S;10.2 - 16.8;69
Shi drum ;Umbrina cirrosa;Medium demersals;Perch-likes;59;3.39;0-100;46°N-30°S;13.3 - 21;40
Surmullet ;Mullus surmuletus;Medium demersals;Perch-likes;40;3.45;5-409;55°N-14°S;7 - 16.1;39
White seabream;Diplodus sargus sargus;Medium demersals;Perch-likes;36;3.38;mai-50;47°N-28°S;15 - 24.1;63
Alexandria pompano ;(Alectis alexandrina);Medium pelagics;Perch-likes;82;3.60;-;42°N-13°S;18.6 - 27.9;52
Atlantic binito ;(Sarda sarda);Medium pelagics;Tuna and billfishes;84;4.50;80-200;65°N-40°S;7 - 23.4;33
Atlantic chub mackerel ;Scomber colias;Medium pelagics;Perch-likes;49;3.91;-;46°N-40°S;13.9 - 27.3;43
Atlantic horse mackerel ;Trachurus trachurus;Medium pelagics;Perch-likes;62;3.71;0-1050;70°N-28°S;10.6 - 16.6;59
Atlantic saury ;Scomberesox saurus saurus;Medium pelagics;Other fishes and inverts;47;3.91;0-30;66°N-60°S;6.5 - 22;25
Bullet tuna;Auxis rochei;Medium pelagics;Tuna and billfishes;47;4.13;-;61°N-51°S;13.6 - 29;27
European argentine;Argentina sphyraena;Medium pelagics;Salmon, smelts, etc;35;3.62;50-700;70°N-25°S;6.4 - 13.3;36
Frigate tuna;Auxis thazard;Medium pelagics;Tuna and billfishes;59;4.37;-;61°N-51°S;13.8 - 27.1;28
Golden grey mullet;Liza auruta;Medium pelagics;Perch-likes;47;3.01;-;64°N-20°N; 9.7 - 20.7;35
Madeiran sardinella;Sardinelle maderensis;Medium pelagics;Herring-likes;34;3.20;0-80;40°N-25°S;18 - 27.9;33
Salema;Sarpa salpa;Medium pelagics;Perch-likes;51;2.00;mai-70;45°N-40°S;15.3 - 24;41
Spotted seabass;Dicentrarchus punctatus;Medium pelagics;Perch-likes;57;3.94;30-;51°N-10°S;13.3 - 20.7;67
West african spanish mackerel;Scomberomorus tritor;Medium pelagics;Perch-likes;82;4.26;janv-40;45°N-15°S;22.7 - 27.7;38
Old parrotfish;Sparisoma cretense;Medium reef assoc.fish;Perch-likes;45;2.86;20-50;46°N-13°S;15.1 - 20.3;36
Smooth callista;Callista chione;Other demersal invertebrates;Molluscs;10;2.00;10-180;57°N-27°S;10.8 - 21.5;10
Striped venus ;Chamelea gallina;Other demersal invertebrates;Molluscs;5;2.10;mai-25;64°N-28°S;8.4 - 18.9;10
Tuberculate cockle;Acanthocardia tuberculata;Other demersal invertebrates;Molluscs;8;2.50;mai-25;90°N-90°S;8 - 20.7;10
Blue and red shrimp;Aristeus antennatus;Shrimps;crustaceans;22;3.29;100-2200;45°N-14°S;6.6 - 18.3;12
Caramote prawn;Melicertus kerathurus;Shrimps;crustaceans;18;2.70;mai-75;45°N-17°S;15.2 - 21.6;17
Deepwater rose shrimp;Parapenaeus longirostris;Shrimps;crustaceans;16;3.31;20-700;45°N-30°S;9.4 - 19.5;10
Giant red shrimp;Aristaeomorpha foliacea;Shrimps;crustaceans;17;2.30;61-1300;35°N-27°S; 5.9 - 15.7;10
